,Cluster No,Average Price
0,0,2677
1,1,2791
2,2,2500
3,3,2287
4,4,2100
5,5,3300
6,6,2541
7,7,2682
8,8,3115
9,9,2550
10,10,3901
11,11,2764
12,12,3358
13,13,3027
14,14,2000
15,15,2600
16,16,2700
17,17,4143
18,18,2735
19,19,2200
20,20,3066
21,21,2600
22,22,2955
23,23,2153
24,24,2420
25,25,2352
26,26,2294
27,27,2375
28,28,2050
29,29,2350
30,30,2220
31,31,2622
32,32,3300
33,33,2250
34,34,2000
35,35,2250
36,36,2533
37,37,3200
38,38,2400
39,39,3600
40,40,2348
41,41,2233
42,42,2200
43,43,2250
44,44,2233
45,45,2400
46,46,2900
47,47,2133
48,48,2200
49,49,2483
50,50,2000
51,51,2100
52,52,2100
53,53,2200
54,54,2200
55,55,2283
56,56,3500
57,57,2279
58,58,2100
59,59,2590
60,60,2233
61,61,2000
62,62,3000
63,63,2750
64,64,2150
65,65,2100
66,66,2150
67,67,3100
68,68,2000
69,69,2450
70,70,3450
71,71,2000
72,72,2800
73,73,2500
74,74,3500
75,75,2200
76,76,3100
77,77,2600
